name,address,dcode,tel,time,X,Y
สำนักงานใหญ่ เทสโก้โลตัส,699 อาคารโมเดอร์นฟอร์มทาวเวอร์ กรุงเทพฯ,1034,02-7229640-79,เวลาเปิด/ปิด 8.00 - 17.00 น.,677546.337012829,1518541.98564382
คาร์ฟู สาขาสุขาภิบาล 3,643/7 ถ.สุขาภิบาล 3 แขวงหัวหมาก กรุงเทพฯ,1006,02-735-3062-73,เวลาเปิด/ปิด 8.00 - 17.00 น.,679289.83709028,1523002.27606537
เทสโก้โลตัส สาขาจรัญสนิทวงศ์,244 ถ.จรัญสนิทวงศ์70 แขวงบางพลัด กรุงเทพฯ,1025,02-4348800,เวลาเปิด/ปิด 8.00 - 17.00 น.,662407.554738622,1524780.3777527
เทสโก้โลตัส สาขาแจ้งวัฒนะ,300 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ,1041,02-9907555-79,เวลาเปิด/ปิด 8.00 - 17.00 น.,668143.667906639,1536754.0330315
เทสโก้โลตัส สาขาซีคอน สแควร์,55/2 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ,1032,02-7219088-117,เปิดเวลา:  09:00-23:00น.,678228.166709931,1514330.17674297
เทสโก้โลตัส สาขาบางแค,266 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค,1040,02-8044800-35,เปิดเวลา 09:00-23:00 น.,653389.54876071,1516431.92152228
เทสโก้โลตัส สาขาบางกะปิ,3109 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ,1006,02-730444,เปิดเวลา 09:00-23:00น.,677772.471861923,1522636.30382811
เทสโก้โลตัส สาขาบางปะกอก,538/2 ม.4ถ.สุขสวัสดิ์ 27 แขวงบางปะกอก เขตราษฎรบูรณะ กรุงเทพฯ,1024,02-8721500-24,เปิดเวลา 09:00-23:00น.,662403.68017184,1512659.70107978
เทสโก้โลตัส สาขาประชาชื่น,829 ถ.ประชาราษฎรสาย 2 แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,1029,02-8721500-24,เปิดเวลา 09:00-23:00น.,665865.896447653,1526796.52864256
เทสโก้โลตัส สาขาพระราม 2,88/2528 ม.6 ถ.พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ,1021,02-8928130-55,เปิดเวลา 09:00-23:00น.,653471.978606022,1509226.92975925
เทสโก้โลตัส สาขาพระราม 3,172 ถ.นราธิวาสราชนครินทร์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ,1012,02-6810920-44,เปิดเวลา 09:00-23:00น.,666101.894879018,1514582.82862073
เทสโก้โลตัส สาขาพระราม 4,3300 ถ.พระราม 4 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ,1033,02-6728585-90,เปิดเวลา 09:00-23:00น.,669508.71022295,1517122.48175349
เทสโก้โลตัส สาขามีนบุรี,73 ม.18 ถ.สุวินทวงศ์  แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,1010,02-6420500-30,เปิดเวลา 09:00-23:00น.,686816.42960933,1528149.23956443
เทสโก้โลตัส สาขาฟอร์จูน ทาวน์,7/1 ฟอร์จูนทาวเวอร์ ถ.รัชดา แขวงดินแดง เขตดินแดง กรุงเทพฯ,1026,02-6420500-30,เปิดเวลา 09:00-23:00น.,669161.099992293,1521358.24021884
เทสโก้โลตัส สาขารามอินทรา,14/2 ม.8 ถ.ประดิษฐมนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ,1038,02-9359800-19,เปิดเวลา 09:00-23:00น.,674560.584365568,1526445.0387688
เทสโก้โลตัส สาขาถนนลาดพร้าว-ถนนพหลโยธิน,1190 ถ.พหลโยธิน แขวงจอมพล เขตจตุจักร กรุงเทพฯ,1030,02-930-9444,เปิดเวลา 09:00-23:00น.,668948.129854871,1528054.02816841
เทสโก้โลตัส สุขาภิบาล 1,629 ม.10 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ,1027,08-9477720-25,เปิดเวลา 09:00-23:00น.,679066.106014184,1528915.35653513
เทสโก้โลตัส สาขาสุขุมวิท50,1710 ถ.สุขุมวิท แขวงพระโขนง เขตพระโขนง กรุงเทพฯ,1033,02-7414444,เปิดเวลา 09:00-23:00น.,673114.689570608,1515706.72502105
เทสโก้โลตัส สาขาหลักสี่,559 ม.3 ถ.พหลโยธิน แขวงอนุสาวรีย์ กรุงเทพฯ,1005,02-955-7500-24,เปิดเวลา 09:00-23:00น.,672967.538832609,1534944.24385443
คาร์ฟู สาขาสุวินทวงศ์,123 ม.16 ถ.สุวินทวงศ์  แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,1010,02-9064814-21,เปิดเวลา ทุกวัน 09:00-23:00 น.,685880.306699692,1528181.45729032
คาร์ฟู สาขาเพชรเกษม,29/1 ม.11 ถ.เพชชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพฯ,1023,02-807-4754-60,เปิดเวลา: ทุกวัน 09:00-23:00น.,647799.17387759,1515978.34284042
คาร์ฟู สาขารามอินทรา,59 ม.4 ถ.รามอินทรา กม.25 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,1005,02-9717555-62,เปิดเวลา ทุกวัน 09:00-23:00น.,674790.201852244,1532984.06994499
คาร์ฟู สาขาพระราม 4,2929 ถ.พระราม 4 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ,1033,02-971-7555-62,เปิดเวลา ทุกวัน 09:00-23:00น.,669589.625134442,1517179.68864709
คาร์ฟู สาขาบางแค,110/6 ม.9 ถ.เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ,1022,02-8047340-43,เปิดเวลา ทุกวัน 09:00-23:00น.,655035.365459864,1516275.96965831
คาร์ฟู สาขารัชดาภิเษก,125 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,1026,02-354-0570,เปิดเวลา ทุกวัน 09:00-23:00น.,669906.673375649,1522705.83252886
คาร์ฟู สาขาบางบอน,19/164 ม.6 ถ.เอกชัย แขวงบางบอน เขตบางบอน กรุงเทพฯ,1050,02-898-0991-8,เปิดเวลา ทุกวัน 09:00-23:00น.,655210.777406965,1512674.15080488
คาร์ฟู สาขาบางปะกอก,278 ม.1 ถ.สุขสวัสดิ์ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพฯ,1024,02-898-0991-8,เปิดเวลา ทุกวัน 09:00-23:00น.,661217.26795316,1513216.79492713
คาร์ฟู สาขาอ่อนนุช,114 ซ.อ่อนนุช 1 ถ.สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,1039,02-311-8099,เปิดเวลา ทุกวัน 09:00-23:00น.,673183.018114184,1516142.30152159
คาร์ฟู สาขาลาดพร้าว,669 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ,1030,02-983-7333,เปิดเวลา ทุกวัน 09:00-23:00น.,669249.458233204,1527344.09553158
คาร์ฟู สาขาอิสรภาพ,2 ถ.อิสรภาพ วัดกัลยา  เขตธนบุรี กรุงเทพฯ,1015,02-890-3000,เปิดเวลา ทุกวัน 09:00-23:00น.,661351.565260543,1518683.00694553
